 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
2015,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1.7643E+12,-1216.881836,-109.767593,-174.9953, , , , , , , , ,-0.081373,-0.00706,0.13532,0.987429,-9.358827,0.462984,15.568838, , , , , , ,93.047661, 
2,1.7643E+12,-1216.4646,-109.542114,-174.768768, , , , , , , , ,-0.081774,-0.006791,0.135349,0.987394,-9.400254,0.499891,15.569454, , , , , , ,93.047661, 
3,1.7643E+12,-1216.108765,-109.294579,-174.858551,34.788208,21.285667,6.153717,41.245209,-497.351074,178.658295,-2562.148926,2616.082031,-0.082998,-0.007517,0.135166,0.987312,-9.551043,0.43512,15.554605,-8.649714,-1.253867,-0.640523,-885.822449,-823.585083,-125.275558,93.047661, 
4,1.7643E+12,-1215.800049,-109.359924,-174.71138,29.904785,8.198547,2.582474,31.115616,-381.665039,-2534.339844,1919.325195,3201.930176,-0.082024,-0.008115,0.135457,0.987349,-9.449279,0.355031,15.594258,-2.206106,-6.518709,1.116192,2045.671875,-124.08638,441.484192,93.047661, 
5,1.7643E+12,-1215.474365,-108.780502,-174.743362,28.547974,23.13343,5.183487,37.108097,137.438965,5222.618652,-1451.142822,5422.218262,-0.085865,-0.008282,0.136226,0.986915,-9.889214,0.403712,15.683063,-15.217698,-1.413381,5.780617,-4387.758301,1043.04541,398.112305,93.047661, 
6,1.7643E+12,-1214.993896,-108.722,-174.359528,36.276855,28.706589,15.833359,48.895538,1253.759766,-4219.450195,3368.119873,5542.554199,-0.085066,-0.008728,0.136626,0.986925,-9.805034,0.344681,15.733853,-16.008976,-0.465741,6.281744,4245.328613,-872.470337,-307.909363,93.047661, 
7,1.7643E+12,-1214.574585,-108.863686,-173.842804,40.490112,-3.743248,40.525131,57.4086,-495.373535,-1621.520264,1076.39917,2008.322266,-0.083492,-0.009842,0.136121,0.987119,-9.643286,0.189033,15.686911,11.066772,-9.660567,0.173159,628.305969,-782.598267,-791.635925,93.047661, 
8,1.7643E+12,-1214.157837,-108.832855,-173.783936,37.622681,-4.98848,25.901642,45.948299,-20.76416,1397.37854,-3708.627441,3963.20752,-0.082503,-0.00995,0.136493,0.987149,-9.53219,0.164868,15.730994,12.27796,-8.091575,-0.128648,-410.291992,1065.016846,737.310669,93.047661, 
9,1.7643E+12,-1213.75647,-108.711266,-173.621445,36.815186,6.858902,9.961166,38.750835,-124.584961,735.150146,839.341736,1122.702881,-0.082267,-0.0098,0.13731,0.987057,-9.502882,0.185974,15.823829,6.318157,-0.137655,6.161339,-662.472473,366.688782,394.886993,93.047661, 
10,1.7643E+12,-1211.762817,-110.030365,-173.353409,107.775879,-53.887939,19.373703,122.044624,12897.50977,-11669.58203,854.914856,17414.24023,-0.071898,-0.00702,0.140314,0.987468,-8.2775,0.361724,16.148371,56.461048,8.858507,18.781931,9688.193359,1252.620361,1876.819458,93.047661, 
11,1.7643E+12,-1212.828003,-108.436195,-173.78009,41.781006,12.378159,-7.139053,44.156963,-24776.58594,23597.47852,-5627.210938,34675.43359,-0.083385,-0.008225,0.135452,0.987234,-9.606095,0.36379,15.594253,-4.644606,8.001732,-10.330959,-20687.21094,-1406.839722,-7117.139648,93.047661, 
12,1.7643E+12,-1212.133301,-108.883034,-173.307724,-16.671753,51.629906,2.055817,54.293839,14255.08984,-16532.16406,7282.287598,23011.99219,-0.081308,-0.007249,0.136495,0.987272,-9.353795,0.451701,15.706055,-48.433247,4.04896,-19.90419,12805.25586,695.340637,5393.95752,93.047661, 
13,1.7643E+12,-1211.862549,-108.709038,-173.349091,43.445435,-12.277908,19.394989,49.13673,-3433.996582,5028.758301,-4161.236328,7375.407227,-0.082349,-0.007837,0.136809,0.987138,-9.481419,0.404504,15.747363,5.610465,1.832146,6.889999,-3077.387207,-1094.367188,-571.00354,93.047661, 
14,1.7643E+12,-1211.329468,-108.300156,-173.202576,36.172485,26.229515,4.731674,44.931335,2124.865723,1902.578003,1521.839844,3232.778076,-0.083916,-0.008211,0.136998,0.986976,-9.66576,0.388775,15.772077,-14.038424,-2.831649,2.970956,-459.412872,254.884079,-134.424149,93.047661, 
15,1.7643E+12,-1211.009766,-108.365227,-173.114273,38.375244,15.471497,10.566788,42.704609,-1728.369141,-3839.02124,-471.51947,4236.469727,-0.08215,-0.008888,0.137308,0.987076,-9.475133,0.287223,15.814878,0.282851,-5.277668,3.038194,3037.242432,-695.167542,146.527115,93.047661, 
16,1.7643E+12,-1210.495605,-108.24469,-172.449829,37.523804,2.495956,33.873596,50.613102,1575.109863,1503.424072,4666.745117,5149.734375,-0.081342,-0.009268,0.135888,0.987336,-9.389384,0.218047,15.654931,12.436904,-7.68277,-5.271522,-849.512878,262.249329,-1642.276001,93.047661, 
17,1.7643E+12,-1210.040161,-108.315842,-172.366547,43.632202,2.222328,33.64769,55.144127,-475.598145,-1552.677124,-4707.408203,4979.627441,-0.08022,-0.008938,0.136288,0.987376,-9.256318,0.241561,15.698267,9.846677,-2.054755,-5.247541,383.272003,750.793335,1646.592407,93.047661, 
18,1.7643E+12,-1209.498291,-108.357933,-172.288177,44.87915,-5.09594,7.274323,45.749561,700.048828,235.388947,-39.797974,739.635193,-0.079721,-0.00835,0.136215,0.987431,-9.190408,0.299556,15.684608,8.953924,3.667899,1.33549,-543.967407,279.284424,-461.646759,93.047661, 
19,1.7643E+12,-1208.941162,-108.278633,-171.934647,49.454956,1.674385,19.435501,53.163284,123.596191,983.269531,2228.810059,2439.198486,-0.077832,-0.007936,0.136848,0.987498,-8.96853,0.322451,15.754404,12.950447,3.640024,2.526187,1263.341553,-284.301971,675.972107,93.047661, 
20,1.7643E+12,-1208.887329,-107.940384,-172.059494,27.493286,18.789711,10.290756,34.854465,-4076.696777,2097.489258,-3874.864258,6002.790039,-0.082631,-0.010189,0.138698,0.986829,-9.550273,0.16108,15.987468,-16.193928,-6.23139,13.628648,-6509.329102,-1492.55249,1322.470825,93.047661, 
