#Hierarchical Translation and Rotation (.csv) file,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
2317,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1.76465E+12,-1380.723511,-360.99115,-496.666565, , , , , , , , ,-0.073205,-0.070765,0.021884,0.994562,-8.634994,-7.906495,3.11894, , , , , , ,65.801697, 
2,1.76465E+12,-1380.636963,-361.218658,-496.741608, , , , , , , , ,-0.07268,-0.070876,0.021323,0.994605,-8.570269,-7.925587,3.051173, , , , , , ,65.801697, 
3,1.76465E+12,-1380.294556,-360.987091,-496.899353,19.302979,0.182648,-10.475464,21.963007,2072.460938,3718.515137,-669.891357,4309.431641,-0.074631,-0.069916,0.021699,0.994521,-8.794733,-7.806464,3.101023,-7.188269,4.501354,-0.806265,-2342.431641,1119.546997,952.701355,65.801697, 
4,1.76465E+12,-1379.873535,-361.037048,-496.950287,34.354248,8.172455,-9.390564,36.540199,636.767578,-2280.349609,865.17334,2520.712646,-0.074274,-0.069816,0.021527,0.994558,-8.751649,-7.797657,3.077557,-8.162098,5.756845,1.18727,2167.142578,-893.558655,-593.865051,65.801697, 
5,1.76465E+12,-1379.663452,-361.128876,-497.02771,28.399658,-6.38031,-5.776062,29.675104,-1708.59375,-339.147949,-214.562988,1755.092896,-0.074394,-0.0696,0.020893,0.994578,-8.759731,-7.77809,3.003552,1.57509,1.276834,-4.386197,-414.448792,87.156822,-409.35907,65.801697, 
6,1.76465E+12,-1379.389648,-361.205658,-497.023743,21.774902,-7.587433,-3.305511,23.294676,516.137695,121.865845,659.262085,846.094482,-0.074086,-0.069784,0.020832,0.994589,-8.724327,-7.800585,2.995779,1.229478,-0.131765,-3.680001,352.238556,-340.704742,536.474365,65.801697, 
7,1.76465E+12,-1379.299927,-361.517426,-497.178131,16.358643,-17.484741,-6.768951,24.882524,-1491.064453,-1903.381348,-1282.681274,2737.043213,-0.073628,-0.069431,0.019095,0.994683,-8.656363,-7.776639,2.789035,4.651558,0.065312,-9.653298,263.735901,376.178619,-1611.667847,65.801697, 
8,1.76465E+12,-1379.091309,-361.316254,-497.167419,13.425293,-4.976807,-6.465454,15.710162,963.061523,4154.80957,1337.310791,4469.712402,-0.07538,-0.069711,0.019601,0.994522,-8.864221,-7.799314,2.863695,-6.295216,0.057213,-5.943764,-2234.155273,-377.636475,2279.384033,65.801697, 
9,1.76465E+12,-1378.792358,-361.273224,-497.082001,22.840576,10.989075,4.325867,25.713125,731.689453,-1280.950928,605.126953,1594.485352,-0.076116,-0.069445,0.020384,0.994469,-8.954295,-7.759672,2.957005,-13.406941,0.763521,7.558662,954.044678,504.77182,151.052673,65.801697, 
10,1.76465E+12,-1378.481323,-361.501282,-497.194244,27.449341,-8.326263,-1.207123,28.709757,97.888184,-2195.810059,-1601.065063,2719.296387,-0.075255,-0.06918,0.020329,0.994554,-8.853147,-7.732451,2.941418,0.498329,3.00882,3.497514,1548.904053,-100.617973,-882.059265,65.801697, 
11,1.76465E+12,-1378.138428,-361.050201,-497.084717,29.42688,10.036011,-0.122223,31.09144,258.068848,5501.019531,1796.347046,5792.639648,-0.079367,-0.068859,0.020816,0.994246,-9.331237,-7.678964,3.026393,-16.962357,3.631864,3.122457,-4691.827148,212.765976,814.548889,65.801697, 
12,1.76465E+12,-1377.905762,-361.121674,-497.162231,25.900269,17.082367,1.440582,31.059725,-892.858887,-4232.675293,-1515.042114,4583.458008,-0.079913,-0.06874,0.020047,0.994227,-9.38794,-7.670911,2.941021,-24.065714,2.7693,-0.017856,3413.2229,-368.027466,-1379.805176,65.801697, 
13,1.76465E+12,-1377.571411,-361.077301,-497.210876,25.515747,-1.219482,-5.677185,26.168127,823.64502,938.342285,233.843994,1270.26001,-0.080197,-0.068645,0.020256,0.994206,-9.422091,-7.657187,2.966286,-4.088471,0.979938,-2.704811,182.680878,45.942127,896.153442,65.801697, 
14,1.76465E+12,-1377.311523,-360.900238,-497.273621,26.740723,9.9646,-5.012512,28.973864,-603.149414,1074.79248,-114.202881,1237.744019,-0.080899,-0.068466,0.020125,0.994164,-9.501472,-7.635889,2.954936,-5.108918,1.576029,0.626145,-366.361237,61.354267,-296.581482,65.801697, 
15,1.76465E+12,-1376.841187,-360.810547,-497.32959,32.860107,12.003937,-5.342102,35.389534,1704.638672,-707.711792,54.876709,1846.526611,-0.083079,-0.068228,0.021319,0.993976,-9.761764,-7.590465,3.106492,-15.28524,3.002489,6.309269,-1465.376831,195.408585,1319.543945,65.801697, 
16,1.76465E+12,-1376.740479,-361.497803,-497.466492,25.697021,-26.890411,-8.679199,38.19371,-2993.994141,-6293.270996,-655.554199,6999.929199,-0.079807,-0.070243,0.02053,0.99412,-9.385935,-7.838547,3.01066,5.199158,-9.119614,2.507614,5152.568359,-2377.386963,-2003.841919,65.801697, 
17,1.76465E+12,-1376.635986,-361.823273,-497.706451,9.234009,-45.572662,-16.958771,49.494793,30.651855,2930.46582,-834.768677,3047.196777,-0.077639,-0.071202,0.020565,0.994223,-9.139454,-7.954577,3.006755,28.003948,-16.385019,-4.488153,-1047.706055,1069.613892,744.60376,65.801697, 
18,1.76465E+12,-1376.237061,-361.207977,-497.735443,22.653809,13.042145,-12.102814,28.80574,2384.912109,7620.199707,1708.840942,8165.499512,-0.082488,-0.069557,0.020161,0.993957,-9.690321,-7.755575,2.982368,-13.697347,3.733738,-1.273176,-6458.527344,2551.762451,-165.907852,65.801697, 
19,1.76465E+12,-1376.215698,-361.852844,-497.93689,18.912964,-1.330719,-10.36972,21.610231,-3058.26416,-10207.31543,-1396.884155,10746.79199,-0.079705,-0.070174,0.018589,0.994172,-9.358604,-7.849189,2.785898,-9.861777,4.742461,-9.93856,7148.929688,-2370.192383,-1393.861206,65.801697, 
20,1.76465E+12,-1375.989258,-361.741516,-497.922913,11.151123,-24.009247,-8.436127,27.784163,1661.132812,6125.180176,1744.93103,6581.943359,-0.081563,-0.069033,0.018952,0.994094,-9.571683,-7.710006,2.830842,5.338698,2.05061,-6.818646,-4412.844238,1885.65918,1955.445435,65.801697, 
21,1.76465E+12,-1375.645264,-361.849152,-497.930328,25.669556,0.166168,0.295258,25.671791,952.185059,-1773.605347,-173.28186,2020.484863,-0.081273,-0.068866,0.018961,0.994129,-9.537576,-7.691627,2.827911,-8.053735,7.090303,1.890578,2002.206421,-978.514343,-387.785126,65.801697, 
22,1.76465E+12,-1375.436279,-361.902283,-497.91864,24.884033,-7.234497,0.192261,25.915054,-1093.579102,441.485596,154.742432,1189.44104,-0.080716,-0.069285,0.018773,0.994149,-9.473374,-7.742881,2.80619,4.423893,-1.479414,-1.109347,243.766556,-564.034912,-152.201324,65.801697, 
23,1.76465E+12,-1374.915039,-361.406464,-497.898315,32.860107,19.920959,1.440582,38.453953,2529.272461,4446.496582,69.955444,5115.999023,-0.085426,-0.068424,0.019889,0.993793,-10.023355,-7.619906,2.962185,-21.860035,3.22741,6.042306,-4974.873535,1411.263184,1439.498901,65.801697, 
24,1.76465E+12,-1374.643188,-361.104004,-497.86676,35.689087,35.922546,2.334595,50.691128,-2020.056152,-1566.210938,90.966797,2557.717529,-0.087859,-0.067902,0.020071,0.993613,-10.304152,-7.551114,2.99631,-37.385006,8.629536,8.555404,2180.378418,-438.880585,-987.141357,65.801697, 
