#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
2413,1,90,ZYX,X,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1764652445276,-1114.267700, -38.416656, -257.358887, , , , , , , , , -0.068657, 0.001400, 0.046193, 0.996569, -7.858008, 0.523263, 5.271820, , , , , , , 65.801697, 
2,1764652445287,-1114.281738, -38.298038, -257.455200, , , , , , , , , -0.069031, 0.002001, 0.046196, 0.996542, -7.897797, 0.593905, 5.267276, , , , , , , 65.801697, 
3,1764652445298,-1114.324219, -38.328648, -257.451935, -2.543335, 3.960400, -4.187164, 6.299656, -230.383301, -1208.739868, 806.588745, 1471.296631, -0.069066, 0.002144, 0.046302, 0.996535, -7.901032, 0.611284, 5.278215, -1.936085, 3.960983, 0.287792, 296.079193, -431.421722, 125.411156, 65.801697, 
4,1764652445309,-1114.336426, -38.277691, -257.428101, -2.460938, 0.915642, 1.219482, 2.895125, 245.214844, 660.683472, 166.607666, 724.148499, -0.069342, 0.002295, 0.046276, 0.996516, -7.931922, 0.629761, 5.273843, -1.535637, 1.613542, 0.295544, -223.998444, 8.882361, -124.015701, 65.801697, 
5,1764652445321,-1114.563232, -38.484226, -257.461304, -10.755615, -7.001038, -0.421600, 12.840386, -1738.256836, -2085.685791, -462.002563, 2754.100342, -0.068149, 0.002735, 0.046340, 0.996595, -7.792738, 0.674215, 5.278605, 4.873240, 2.831872, 0.017552, 1377.596191, 210.417038, 73.977112, 65.801697, 
6,1764652445332,-1114.614990, -38.459888, -257.518341, -12.535400, -8.198891, -4.060822, 15.519289, 1417.895508, 1870.072144, -193.057251, 2354.754395, -0.067911, 0.003052, 0.046562, 0.996600, -7.763638, 0.710864, 5.301701, 7.572803, 3.649625, 1.253565, -891.674683, -63.221485, 148.505157, 65.801697, 
7,1764652445343,-1114.670044, -38.443832, -257.518463, -4.806519, 1.817722, -2.572174, 5.746548, -26.696777, -67.081833, 461.013794, 466.633057, -0.067705, 0.003268, 0.046427, 0.996619, -7.738939, 0.733464, 5.284712, 2.420957, 2.666186, 0.274831, -35.657532, -113.797485, -324.677216, 65.801697, 
8,1764652445354,-1114.809082, -38.150162, -257.342438, -8.734131, 13.937702, 7.915649, 18.253824, -680.273438, 2248.678223, 1426.794434, 2748.648438, -0.069079, 0.003632, 0.046739, 0.996509, -7.894469, 0.784693, 5.316521, -5.887434, 3.322310, 0.666914, -1459.853027, 231.899750, 395.252136, 65.801697, 
9,1764652445365,-1114.869995, -37.559086, -257.455048, -8.997803, 39.813595, 2.853699, 40.917313, 632.812500, 2408.982422, -2337.945557, 3416.085205, -0.074273, 0.005345, 0.045883, 0.996168, -8.482542, 1.000646, 5.200039, -33.462124, 12.023207, -3.810306, -3503.591064, 1334.261719, -1201.151733, 65.801697, 
10,1764652445376,-1115.036255, -38.212769, -257.458313, -10.222778, -2.817307, -5.214386, 11.816608, -853.308105, -10082.544922, 885.690308, 10157.277344, -0.069554, 0.004453, 0.046462, 0.996486, -7.944952, 0.878855, 5.278051, -2.271742, 4.237277, -1.731147, 9117.859375, -2735.729248, 1575.400269, 65.801697, 
11,1764652445387,-1114.928223, -37.599270, -257.365753, -2.620239, -1.808281, 4.018250, 5.126584, 2221.765137, 10264.168945, 776.184082, 10530.521484, -0.072647, 0.006490, 0.045937, 0.996278, -8.290091, 1.123433, 5.198487, 8.660316, 5.525410, -0.069821, -7150.089355, 2967.593262, -1276.361572, 65.801697, 
12,1764652445398,-1114.992554, -37.435047, -257.354614, 1.966553, 34.997463, 4.666443, 35.361919, -1396.142578, -3639.135254, -659.509277, 3953.159912, -0.073443, 0.006895, 0.045740, 0.996226, -8.379668, 1.172151, 5.171715, -19.562187, 13.198322, -4.785097, 2070.038574, -1586.469116, 427.611908, 65.801697, 
13,1764652445409,-1115.048828, -37.414951, -257.417206, -5.427246, 8.294334, -2.315369, 10.178994, 65.258789, -1167.427856, -597.216797, 1312.941162, -0.073297, 0.007121, 0.045963, 0.996225, -8.361494, 1.199020, 5.195507, -3.213177, 3.401402, -0.134104, 872.783386, -176.976578, 409.566772, 65.801697, 
14,1764652445421,-1115.047363, -37.506199, -257.479218, -2.466431, -3.201828, -5.607147, 6.911952, 467.687988, -901.881409, 4.696655, 1015.944946, -0.072163, 0.007646, 0.045731, 0.996315, -8.228995, 1.251227, 5.166017, 6.780282, 3.558460, -0.256419, 926.039307, 205.247177, -431.583344, 65.801697, 
15,1764652445432,-1115.074463, -37.439381, -257.531891, -1.153564, -1.099319, -5.160828, 5.401237, -231.372070, 1280.333008, 75.640869, 1303.267822, -0.072614, 0.008216, 0.045871, 0.996271, -8.277631, 1.319807, 5.176907, 3.773871, 5.435439, -0.837013, -1467.193359, 132.608978, 327.076324, 65.801697, 
16,1764652445443,-1115.154053, -37.400482, -257.501495, -4.801025, 4.757252, -1.002502, 6.832737, -425.170898, -226.150131, 672.857666, 827.436768, -0.072532, 0.008682, 0.046086, 0.996263, -8.265671, 1.374331, 5.197767, -1.650425, 5.539654, 1.428758, 490.820160, -113.850273, 80.762466, 65.801697, 
17,1764652445454,-1115.259277, -37.567501, -257.451813, -8.316650, -5.765419, 3.603516, 10.742069, -207.641602, -1667.930664, 156.225586, 1688.050293, -0.070954, 0.008408, 0.046228, 0.996372, -8.085641, 1.335999, 5.218351, 8.639521, 0.728662, 1.864985, 1361.369995, -752.128296, -2.241624, 65.801697, 
18,1764652445465,-1115.339966, -37.404934, -257.511353, -8.366089, -0.200329, -0.443573, 8.380235, 198.742676, 2669.646729, -884.701538, 2819.434326, -0.072247, 0.008914, 0.046132, 0.996279, -8.231704, 1.399755, 5.201568, 1.528538, 1.144072, 0.171020, -2641.346680, 826.902039, -302.671967, 65.801697, 
19,1764652445476,-1115.469971, -37.193932, -257.523407, -9.481201, 16.810627, -3.221741, 19.567064, -399.462891, 392.325195, 384.631348, 679.287109, -0.073308, 0.009065, 0.045770, 0.996217, -8.353307, 1.419463, 5.157383, -12.044950, 3.755857, -2.743552, 198.118698, -356.780609, -221.951172, 65.801697, 
20,1764652445487,-1115.388306, -37.210854, -257.584625, -2.175293, 8.733616, -3.297272, 9.585402, 1714.526367, -1846.187256, -398.226929, 2550.802246, -0.073187, 0.009603, 0.045787, 0.996220, -8.336745, 1.480383, 5.155105, -4.726874, 3.628279, -2.090824, 1119.135132, 333.816467, 339.442261, 65.801697, 
21,1764652445498,-1115.427246, -36.992184, -257.578827, 1.922607, 9.078655, -2.493896, 9.609262, -976.904297, 1908.294312, 542.834473, 2211.469727, -0.074764, 0.010015, 0.046000, 0.996089, -8.515352, 1.537428, 5.173648, -7.292059, 5.308420, 0.731930, -1580.868530, -31.390999, 168.653549, 65.801697, 
22,1764652445509,-1115.358398, -37.059933, -257.565918, 1.345825, 6.791439, 0.841827, 6.974494, 873.083496, -2319.993164, 57.595825, 2479.508057, -0.074058, 0.010207, 0.046128, 0.996134, -8.433228, 1.556799, 5.187855, -4.341706, 3.438702, 1.473767, 2111.932129, -305.158234, -35.122982, 65.801697, 
23,1764652445521,-1115.411133, -37.102463, -257.595093, 0.725098, -4.962559, -0.731964, 5.068385, -984.814453, 204.273605, -340.878296, 1061.972290, -0.073688, 0.010143, 0.046038, 0.996166, -8.391202, 1.546783, 5.178683, 5.586757, 0.420993, 0.226567, -324.808777, -238.029526, -189.372955, 65.801697, 
24,1764652445532,-1115.475708, -37.079063, -257.666992, -5.278931, -0.860882, -4.548340, 7.021084, -95.910645, 534.028259, -346.069336, 643.544067, -0.073348, 0.010780, 0.046459, 0.996165, -8.348232, 1.621240, 5.222086, 3.824765, 2.899844, 1.540386, 7.650410, 684.222778, 425.860382, 65.801697, 
25,1764652445543,-1115.377075, -37.129227, -257.668701, 1.532593, -1.204376, -3.312378, 3.843333, 1321.984863, -595.857239, 568.542480, 1557.539795, -0.072888, 0.011025, 0.046463, 0.996196, -8.294189, 1.646904, 5.221344, 4.365564, 4.505420, 1.919744, 89.693398, -395.219177, -357.576019, 65.801697, 
26,1764652445554,-1115.401245, -37.076042, -257.670563, 3.350830, 0.135956, -0.160675, 3.357434, -994.702148, 837.117004, -1.235962, 1300.076416, -0.072841, 0.011149, 0.046707, 0.996187, -8.287808, 1.662826, 5.248308, 2.719102, 1.871394, 1.179990, -386.056641, -78.905418, 224.420349, 65.801697, 
27,1764652445565,-1115.340332, -37.102539, -257.682861, 1.653442, 1.200943, -0.637207, 2.140600, 689.172363, -645.419312, -84.539795, 947.982910, -0.072519, 0.011352, 0.046654, 0.996211, -8.249929, 1.683801, 5.241112, 1.991732, 1.660377, 0.889562, 255.129974, 40.922234, -276.697266, 65.801697, 
28,1764652445576,-1115.279663, -36.822807, -257.621979, 5.471191, 11.395569, 2.186279, 12.828590, -1.977539, 2480.451904, 592.767334, 2550.297852, -0.074162, 0.012039, 0.046572, 0.996085, -8.435246, 1.770235, 5.223229, -6.634726, 4.833382, -1.128547, -1807.892334, 530.218689, -86.562363, 65.801697, 
29,1764652445587,-1115.285400, -36.738400, -257.641724, 2.471924, 16.386280, 1.851196, 16.674757, -537.890625, -1582.123901, -653.082275, 1794.145752, -0.074421, 0.012162, 0.046351, 0.996075, -8.464832, 1.783743, 5.196537, -9.670645, 4.497380, -2.005850, 1261.427002, -590.698914, -71.352219, 65.801697, 
30,1764652445598,-1115.214355, -36.771374, -257.633209, 2.938843, 2.314510, -0.505371, 3.774805, 621.936035, -950.794617, 228.900146, 1158.969360, -0.073431, 0.012708, 0.046635, 0.996128, -8.347864, 1.843303, 5.226329, 3.932230, 3.288058, 0.139494, 1187.090454, 373.020874, 457.514099, 65.801697, 
31,1764652445609,-1115.199097, -36.727798, -257.596283, 3.883667, 0.477047, 2.044830, 4.414949, -451.867676, 620.051208, 230.136108, 801.005920, -0.073154, 0.012685, 0.045956, 0.996181, -8.317388, 1.833571, 5.149301, 6.634995, 2.242276, -2.125640, -700.592712, -561.261536, -865.238281, 65.801697, 
32,1764652445621,-1115.159668, -36.592682, -257.712921, 2.460938, 8.041134, -3.587036, 9.142367, 195.776367, 741.484436, -1243.872070, 1461.282104, -0.073597, 0.013184, 0.046308, 0.996125, -8.365248, 1.895845, 5.184649, -0.782270, 2.364402, -1.875594, -634.515015, 583.244141, 910.246704, 65.801697, 
33,1764652445632,-1115.196533, -36.639511, -257.673279, 0.115356, 3.972931, -3.464813, 5.272800, -617.980957, -1473.760986, 1265.872192, 2038.701660, -0.073340, 0.013113, 0.046316, 0.996145, -8.336019, 1.886458, 5.186686, -0.838394, 2.379915, 1.682317, 624.412598, -580.451904, -269.822784, 65.801697, 
34,1764652445643,-1115.025513, -36.333183, -257.700562, 6.036987, 11.677437, 0.556183, 13.157396, 1683.874512, 2860.572021, -542.092896, 3363.356934, -0.074652, 0.013722, 0.046183, 0.996045, -8.483910, 1.961688, 5.163873, -5.339805, 2.962930, -0.934930, -1434.666504, 685.394775, -201.281662, 65.801697, 
35,1764652445654,-1114.953247, -36.260086, -257.718689, 10.947876, 17.074127, -2.043457, 20.385227, -799.914551, -1889.167725, 74.157715, 2052.880371, -0.075033, 0.013975, 0.046148, 0.996015, -8.526583, 1.992260, 5.157060, -8.575354, 4.761059, -1.333169, 852.267822, -361.731720, 129.598541, 65.801697, 
36,1764652445665,-1114.939087, -36.242569, -257.722961, 3.889160, 4.077644, -1.007996, 5.724404, -470.654297, -450.199127, 112.225342, 660.900330, -0.075110, 0.014018, 0.046145, 0.996008, -8.535149, 1.997543, 5.156200, -2.305769, 1.613455, -0.345281, 276.257355, -204.836990, 48.221420, 65.801697, 
37,1764652445676,-1114.934692, -36.253593, -257.719604, 0.834961, 0.292168, -0.041199, 0.885561, -79.101562, -231.186676, 61.798096, 252.038376, -0.074999, 0.014059, 0.046197, 0.996014, -8.522166, 2.002080, 5.161967, 0.198715, 0.441948, 0.220806, 174.549835, -6.034129, 53.674187, 65.801697, 
38,1764652445687,-1114.919189, -36.163082, -257.775360, 0.895386, 3.576908, -2.357941, 4.376742, 89.978027, 822.439941, -478.811646, 955.910095, -0.075001, 0.014227, 0.046042, 0.996018, -8.521910, 2.019957, 5.142812, 0.595752, 1.008667, -0.602478, -103.083130, 108.043419, -201.865341, 65.801697, 
39,1764652445698,-1114.794800, -35.995934, -257.798248, 6.295166, 11.594696, -3.538971, 13.659810, 881.982422, 620.761841, 266.226196, 1110.907104, -0.075854, 0.014744, 0.046185, 0.995940, -8.617077, 2.084630, 5.153106, -4.270966, 3.714717, -0.398723, -772.926086, 379.045593, 238.541321, 65.801697, 
40,1764652445709,-1114.805420, -35.994495, -257.796387, 5.119629, 7.586403, -0.946198, 9.201055, -1093.579102, -1342.254639, 200.473022, 1742.914917, -0.075655, 0.014745, 0.046198, 0.995954, -8.594147, 2.083791, 5.155043, -3.250656, 2.872509, 0.550384, 956.581665, -530.642944, -67.702141, 65.801697, 
41,1764652445721,-1114.746216, -36.195938, -257.910004, 2.186279, -9.000206, -5.028992, 10.539179, 565.576172, -1643.334961, -935.375977, 1973.665283, -0.074180, 0.014890, 0.045805, 0.996081, -8.424788, 2.089427, 5.111929, 8.653026, 0.215858, -1.852987, 1186.081055, 52.445625, -364.904510, 65.801697, 
